, Time, PAPI_L1_DCM, PAPI_L3_LDM, PAPI_PRF_DM, PAPI_MEM_WCY, PAPI_L1_LDM, PAPI_L2_LDM, PAPI_L2_DCM, PAPI_TLB_DM, PAPI_L2_DCA, PAPI_L3_DCA,,,,,,,,,,,,,,
600,0.225527,244838232,389344,12460981,104864,218075891,16385005,39729461,10386,218838432,39729461,,,,,,,,,,,,,,
1000,1.72758,1229452111,42434357,35999396,349374,1114395085,103214461,275682114,268608264,1111714099,275682114,,,,,,,,,,,,,,
1400,5.25648,3430131743,187773811,251366158,749280,3119107953,437134201,1487572520,381877945,3115792108,1487572520,,,,,,,,,,,,,,
1800,22.5273,9091122127,547084970,2367649696,1280835,8453147898,1823990912,8385829891,4698841742,8438648195,8385829891,,,,,,,,,,,,,,
2200,42.9934,17642732506,896137634,8024598857,1951985,16453205218,5920972274,24103681713,10155713813,16426283486,24103681713,,,,,,,,,,,,,,
2600,80.897,30879642340,1389191228,20265684328,2777874,28781906348,13050232229,50744240756,17285397761,28810191362,50744240756,,,,,,,,,,,,,,
3000,130.876,50303539232,1884617393,37255738834,3753904,46881354649,26919399642,94825242069,27036596983,46855582701,94825242069,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Matrix Size, Time, PAPI_L1_DCM, PAPI_L3_LDM, PAPI_PRF_DM, PAPI_MEM_WCY, PAPI_L1_LDM, PAPI_L2_LDM, PAPI_L2_DCM, PAPI_TLB_DM, PAPI_L2_DCA, PAPI_L3_DCA,,,,,,,,,,,,,,
600,0.123384,27119143,42350,35473320,681076,1463903,501489,57427995,14508,1456423,57427995,,,,,,,,,,,,,,
1000,0.647236,125884392,684511,162906115,2872598,8741180,4207718,260593526,2006121,8779333,260593526,,,,,,,,,,,,,,
1400,1.93269,346422181,6456822,450831037,7154866,24620916,11736644,700620879,5490451,24666581,700620879,,,,,,,,,,,,,,
1800,4.14199,745360679,17719670,972077022,14673438,56159678,25300722,1486580448,11669447,56102926,1486580448,,,,,,,,,,,,,,
2200,7.70274,2078223473,37012242,1781115818,8476779,225049043,45745212,2693024212,21364791,227938771,2693024212,,,,,,,,,,,,,,
2600,12.8137,4413726637,65678281,2939171364,11949040,553253881,75970738,4430811845,35221461,558856613,4430811845,,,,,,,,,,,,,,
3000,20.5717,6780763131,107407944,4529879601,16147374,862075349,116436152,6820663290,54038597,853074687,6820663290,,,,,,,,,,,,,,
4096,51.5416,17685394585,336461600,11616588590,29880033,4149375233,303061303,17553028014,138206874,4109593751,17553028014,,,,,,,,,,,,,,
6144,172.793,59670699279,1164480547,39638533258,69069182,14317137019,1061630809,60800958352,465831430,14320397499,60800958352,,,,,,,,,,,,,,
8192,410.677,1.41E+11,2762679404,95634330813,123899764,34232411546,2616579426,1.48076E+11,1103972410,34374876100,1.48076E+11,,,,,,,,,,,,,,
10240,808.81,2.76E+11,5391085673,2.16E+11,195867523,70038638883,6883464986,3.28632E+11,2161901557,70103268228,3.28632E+11,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Matrix Size, Block Size, Time, PAPI_L1_DCM, PAPI_L3_LDM, PAPI_PRF_DM, PAPI_MEM_WCY, PAPI_L1_LDM, PAPI_L2_LDM, PAPI_L2_DCM, PAPI_TLB_DM, PAPI_L2_DCA, PAPI_L3_DCA,,,,,,,,,,,,,
4096,128,42.8798,9719979651,138382267,17402455779,26877231,1954545400,1220832419,32383466581,7328729,1770628940,32383466581,,,,,,,,,,,,,
4096,256,40.2438,9085068202,146758123,13489329836,27194222,1374633906,675342859,22595674883,4362523,1151298546,22595674883,,,,,,,,,,,,,
4096,512,43.4064,8761317599,315210400,11980329373,27117312,1660857622,427913824,19256402436,2366230,877248725,19256402436,,,,,,,,,,,,,
4096,1024,47.331,8796768924,394027523,11757235720,27155531,1849479751,396287455,18191082907,206603427,1011950706,18191082907,,,,,,,,,,,,,
4096,2048,47.2984,8941691234,396156165,11668512424,27124877,2365262081,340710197,17606172573,172841756,1252346188,17606172573,,,,,,,,,,,,,
4096,4096,49.9826,17733353918,414089359,11673604164,27176067,6058951105,322086250,17340824696,137315057,3600110598,17340824696,,,,,,,,,,,,,
6144,128,145.065,32806594760,469767644,58689051791,62066578,6601512756,4100943784,1.08558E+11,25330585,6065319597,1.08558E+11,,,,,,,,,,,,,
6144,256,128.366,30626538386,456241595,45448091738,62900522,4772758339,2284030046,76389755907,14780235,3928032073,76389755907,,,,,,,,,,,,,
6144,512,130.646,29606678161,336224460,40458873209,63724847,3871044983,1453997773,65737954746,53962615,2800408798,65737954746,,,,,,,,,,,,,
6144,1024,147.017,29749869504,1025085971,39444149091,62664398,6084985822,1347611189,61721019099,688856914,3359147180,61721019099,,,,,,,,,,,,,
6144,2048,167.363,30296853704,1377630817,39438131056,62710274,7754464714,1186126119,59675822960,581838330,4229216860,59675822960,,,,,,,,,,,,,
6144,4096,167.335,50102133336,1434742478,39491314744,62543857,15541805363,1196533463,59065784968,542869816,9900059702,59065784968,,,,,,,,,,,,,
8192,128,367.987,78006668262,1252172028,1.40E+11,111969564,15436534515,9734561172,2.55454E+11,55366016,13917090390,2.55454E+11,,,,,,,,,,,,,
8192,256,562.623,73071359225,8226856048,1.08E+11,129862434,22067331533,5425200112,1.64578E+11,32137157,16343511064,1.64578E+11,,,,,,,,,,,,,
8192,512,389.878,70283535274,3710526956,97189734824,114541049,21962305731,3487013851,1.48867E+11,15907985,11512722291,1.48867E+11,,,,,,,,,,,,,
8192,1024,385.185,70503127859,3748324426,94571212635,112432405,18425697298,3241676793,1.42824E+11,1644855561,10148439915,1.42824E+11,,,,,,,,,,,,,
8192,2048,380.558,71730841274,3364891837,93828275524,114692767,19692019405,2804723654,1.40544E+11,1380100041,10981030441,1.40544E+11,,,,,,,,,,,,,
8192,4096,401.941,1.42E+11,3617004903,94027573082,112281996,48935605493,2880589703,1.38528E+11,1251749079,29105770410,1.38528E+11,,,,,,,,,,,,,
10240,128,714.494,1.52E+11,3012384465,2.72E+11,180623482,31036901559,18967061863,5.01389E+11,110814694,28233337019,5.01389E+11,,,,,,,,,,,,,
10240,256,603.393,1.42E+11,2299698718,2.10E+11,178973646,22778280392,10572434080,3.53212E+11,63405255,19282399502,3.53212E+11,,,,,,,,,,,,,
10240,512,625.037,1.37E+11,1956326906,1.87E+11,184455471,19364755963,6710063386,3.04224E+11,74939210,13415830523,3.04224E+11,,,,,,,,,,,,,
10240,1024,702.623,1.38E+11,4804679064,1.83E+11,177478310,25857996193,6265730168,2.90469E+11,3203593178,16517921416,2.90469E+11,,,,,,,,,,,,,
10240,2048,750.507,1.40E+11,5840007257,1.83E+11,181884454,31548935234,5573263424,2.82988E+11,2699803301,20533920567,2.82988E+11,,,,,,,,,,,,,
10240,4096,778.107,2.50E+11,6926614516,1.83E+11,177285450,83335428326,5570546680,2.78631E+11,2474727328,51826845686,2.78631E+11,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic,Line,,,,,,,,,,,,,,,,,,,,,,,
600,0.225527,0.123384,,,,,,,,,,,,,,,,,,,,,,,
1000,1.72758,0.647236,,,,,,,,,,,,,,,,,,,,,,,
1400,5.25648,1.93269,,,,,,,,,,,,,,,,,,,,,,,
1800,22.5273,4.14199,,,,,,,,,,,,,,,,,,,,,,,
2200,42.9934,7.70274,,,,,,,,,,,,,,,,,,,,,,,
2600,80.897,12.8137,,,,,,,,,,,,,,,,,,,,,,,
3000,130.876,20.5717,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,128,256,512,1024,2048,4096,,,,,,,,,,,,,,,,,,,
4096,42.8798,40.2438,43.4064,47.331,47.2984,49.9826,,,,,,,,,,,,,,,,,,,
6144,145.065,128.366,130.646,147.017,167.363,167.335,,,,,,,,,,,,,,,,,,,
8192,367.987,562.623,389.878,385.185,380.558,401.941,,,,,,,,,,,,,,,,,,,
10240,714.494,603.393,625.037,702.623,750.507,778.107,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,4096,6144,8192,10240,,,,,,,,,,,,,,,,,,,,,
128,42.8798,145.065,367.987,714.494,,,,,,,,,,,,,,,,,,,,,
256,40.2438,128.366,562.623,603.393,,,,,,,,,,,,,,,,,,,,,
512,43.4064,130.646,389.878,625.037,,,,,,,,,,,,,,,,,,,,,
1024,47.331,147.017,385.185,702.623,,,,,,,,,,,,,,,,,,,,,
2048,47.2984,167.363,380.558,750.507,,,,,,,,,,,,,,,,,,,,,
4096,49.9826,167.335,401.941,778.107,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Python,C++,,,,,,,,,,,,,,,,,,,,,,,
600,45.38635216,0.225527,,,,,,,,,,,,,,,,,,,,,,,
1000,234.5354094,1.72758,,,,,,,,,,,,,,,,,,,,,,,
1400,653.1684168,5.25648,,,,,,,,,,,,,,,,,,,,,,,
1800,1413.199853,22.5273,,,,,,,,,,,,,,,,,,,,,,,
2200,2586.825583,42.9934,,,,,,,,,,,,,,,,,,,,,,,
2600,4286.360333,80.897,,,,,,,,,,,,,,,,,,,,,,,
3000,6658.442935,130.876,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Python,C++,,,,,,,,,,,,,,,,,,,,,,,
600,46.42652355,0.123384,,,,,,,,,,,,,,,,,,,,,,,
1000,217.0691807,0.647236,,,,,,,,,,,,,,,,,,,,,,,
1400,598.9518155,1.93269,,,,,,,,,,,,,,,,,,,,,,,
1800,1269.817297,4.14199,,,,,,,,,,,,,,,,,,,,,,,
2200,2329.56043,7.70274,,,,,,,,,,,,,,,,,,,,,,,
2600,3845.087283,12.8137,,,,,,,,,,,,,,,,,,,,,,,
3000,5886.979285,20.5717,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic,Line,,,,,,,,,,,,,,,,,,,,,,,
600,45.38635216,46.42652355,,,,,,,,,,,,,,,,,,,,,,,
1000,234.5354094,217.0691807,,,,,,,,,,,,,,,,,,,,,,,
1400,653.1684168,598.9518155,,,,,,,,,,,,,,,,,,,,,,,
1800,1413.199853,1269.817297,,,,,,,,,,,,,,,,,,,,,,,
2200,2586.825583,2329.56043,,,,,,,,,,,,,,,,,,,,,,,
2600,4286.360333,3845.087283,,,,,,,,,,,,,,,,,,,,,,,
3000,6658.442935,5886.979285,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic,Line,,,,,,,,,,,,,,,,,,,,,,,
600,0.225527,0.123384,,,,,,,,,,,,,,,,,,,,,,,
1000,1.72758,0.647236,,,,,,,,,,,,,,,,,,,,,,,
1400,5.25648,1.93269,,,,,,,,,,,,,,,,,,,,,,,
1800,22.5273,4.14199,,,,,,,,,,,,,,,,,,,,,,,
2200,42.9934,7.70274,,,,,,,,,,,,,,,,,,,,,,,
2600,80.897,12.8137,,,,,,,,,,,,,,,,,,,,,,,
3000,130.876,20.5717,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
 PAPI_CA_SNP,,,,,,,,,,,,,,,,,,,,,,,,,
30748719,,,,,,,,,,,,,,,,,,,,,,,,,
198111972,,,,,,,,,,,,,,,,,,,,,,,,,
866159151,,,,,,,,,,,,,,,,,,,,,,,,,
3600534769,,,,,,,,,,,,,,,,,,,,,,,,,
11615727140,,,,,,,,,,,,,,,,,,,,,,,,,
25463046397,,,,,,,,,,,,,,,,,,,,,,,,,
52342357222,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,600,1000,1400,1800,2200,2600,3000,,,,,,,,,,,,,,,,,,
 Time,0.225527,1.72758,5.25648,22.5273,42.9934,80.897,130.876,,,,,,,,,,,,,,,,,,
 PAPI_L1_DCM,244838232,1229452111,3430131743,9091122127,17642732506,30879642340,50303539232,,,,,,,,,,,,,,,,,,
 PAPI_L3_LDM,389344,42434357,187773811,547084970,896137634,1389191228,1884617393,,,,,,,,,,,,,,,,,,
 PAPI_PRF_DM,12460981,35999396,251366158,2367649696,8024598857,20265684328,37255738834,,,,,,,,,,,,,,,,,,
