, Time, PAPI_L1_DCM, PAPI_L3_LDM, PAPI_PRF_DM, PAPI_MEM_WCY, PAPI_L1_LDM, PAPI_L2_LDM, PAPI_L2_DCM, PAPI_TLB_DM, PAPI_L2_DCA, PAPI_L3_DCA,,,,,,,,,,,,,,
 PAPI_MEM_WCY,104864,349374,749280,1280835,1951985,2777874,3753904,,,,,,,,,,,,,,,,,,
 PAPI_L1_LDM,218075891,1114395085,3119107953,8453147898,16453205218,28781906348,46881354649,,,,,,,,,,,,,,,,,,
 PAPI_L2_LDM,16385005,103214461,437134201,1823990912,5920972274,13050232229,26919399642,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,, Time,,,4096,6144,8192,10240,,,,,,,,,,,,,,,,,
4096,128,42.8798,,128,42.8798,145.065,367.987,714.494,,,,,,,,,,,,,,,,,
4096,256,40.2438,,256,40.2438,128.366,562.623,603.393,,,,,,,,,,,,,,,,,
4096,512,43.4064,,512,43.4064,130.646,389.878,625.037,,,,,,,,,,,,,,,,,
4096,1024,47.331,,1024,47.331,147.017,385.185,702.623,,,,,,,,,,,,,,,,,
4096,2048,47.2984,,2048,47.2984,167.363,380.558,750.507,,,,,,,,,,,,,,,,,
4096,4096,49.9826,,4096,49.9826,167.335,401.941,778.107,,,,,,,,,,,,,,,,,
6144,128,145.065,,,,,,,,,,,,,,,,,,,,,,,
6144,256,128.366,,,,,,,,,,,,,,,,,,,,,,,
6144,512,130.646,,,,,,,,,,,,,,,,,,,,,,,
6144,1024,147.017,,,,,,,,,,,,,,,,,,,,,,,
6144,2048,167.363,,,,,,,,,,,,,,,,,,,,,,,
6144,4096,167.335,,,,,,,,,,,,,,,,,,,,,,,
8192,128,367.987,,,,,,,,,,,,,,,,,,,,,,,
8192,256,562.623,,,,,,,,,,,,,,,,,,,,,,,
8192,512,389.878,,,,,,,,,,,,,,,,,,,,,,,
8192,1024,385.185,,,,,,,,,,,,,,,,,,,,,,,
8192,2048,380.558,,,,,,,,,,,,,,,,,,,,,,,
8192,4096,401.941,,,,,,,,,,,,,,,,,,,,,,,
10240,128,714.494,,,,,,,,,,,,,,,,,,,,,,,
10240,256,603.393,,,,,,,,,,,,,,,,,,,,,,,
10240,512,625.037,,,,,,,,,,,,,,,,,,,,,,,
10240,1024,702.623,,,,,,,,,,,,,,,,,,,,,,,
10240,2048,750.507,,,,,,,,,,,,,,,,,,,,,,,
10240,4096,778.107,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,, Time, PAPI_L1_DCM, PAPI_L3_LDM, PAPI_L1_LDM, PAPI_L2_LDM, PAPI_L2_DCM,,,,,,,,,,,,,,,,,,
,600,0.123384,27119143,42350,1463903,501489,57427995,,,,,,,,,,,,,,,,,,
,1000,0.647236,125884392,684511,8741180,4207718,260593526,,,,,,,,,,,,,,,,,,
,1400,1.93269,346422181,6456822,24620916,11736644,700620879,,,,,,,,,,,,,,,,,,
,1800,4.14199,745360679,17719670,56159678,25300722,1486580448,,,,,,,,,,,,,,,,,,
,2200,7.70274,2078223473,37012242,225049043,45745212,2693024212,,,,,,,,,,,,,,,,,,
,2600,12.8137,4413726637,65678281,553253881,75970738,4430811845,,,,,,,,,,,,,,,,,,
,3000,20.5717,6780763131,107407944,862075349,116436152,6820663290,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,600,1000,1400,1800,2200,2600,3000,,,,,,,,,,,,,,,,,
, Time,0.225527,1.72758,5.25648,22.5273,42.9934,80.897,130.876,,,,,,,,,,,,,,,,,
, PAPI_L1_DCM,244838232,1229452111,3430131743,9091122127,17642732506,30879642340,50303539232,,,,,,,,,,,,,,,,,
, PAPI_L3_LDM,389344,42434357,187773811,547084970,896137634,1389191228,1884617393,,,,,,,,,,,,,,,,,
, PAPI_L1_LDM,218075891,1114395085,3119107953,8453147898,16453205218,28781906348,46881354649,,,,,,,,,,,,,,,,,
, PAPI_L2_LDM,16385005,103214461,437134201,1823990912,5920972274,13050232229,26919399642,,,,,,,,,,,,,,,,,
, PAPI_L2_DCM,39729461,275682114,1487572520,8385829891,24103681713,50744240756,94825242069,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,600,1000,1400,1800,2200,2600,3000,,,,,,,,,,,,,,,,,
, Time,0.123384,0.647236,1.93269,4.14199,7.70274,12.8137,20.5717,,,,,,,,,,,,,,,,,
, PAPI_L1_DCM,27119143,125884392,346422181,745360679,2078223473,4413726637,6780763131,,,,,,,,,,,,,,,,,
, PAPI_L3_LDM,42350,684511,6456822,17719670,37012242,65678281,107407944,,,,,,,,,,,,,,,,,
, PAPI_L1_LDM,1463903,8741180,24620916,56159678,225049043,553253881,862075349,,,,,,,,,,,,,,,,,
, PAPI_L2_LDM,501489,4207718,11736644,25300722,45745212,75970738,116436152,,,,,,,,,,,,,,,,,
, PAPI_L2_DCM,57427995,260593526,700620879,1486580448,2693024212,4430811845,6820663290,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Basic,Line,,, Time, PAPI_L1_DCM, PAPI_L3_LDM, PAPI_L1_LDM, PAPI_L2_LDM, PAPI_L2_DCM,,,,,,,,,,,,,,
, PAPI_L1_DCM,1229452111,125884392,,Basic,1.72758,1229452111,42434357,1114395085,103214461,275682114,,,,,,,,,,,,,,
, PAPI_L3_LDM,42434357,684511,,Line,0.647236,125884392,684511,8741180,4207718,260593526,,,,,,,,,,,,,,
, PAPI_L1_LDM,1114395085,8741180,,,,,,,,,,,,,,,,,,,,,,
, PAPI_L2_LDM,103214461,4207718,,,,,,,,,,,,,,,,,,,,,,
, PAPI_L2_DCM,275682114,260593526,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Basic,Line,,,,,,,,,,,,,,,,,,,,,,
, PAPI_L1_DCM,1229452111,125884392,,,,,,,,,,,,,,,,,,,,,,
, PAPI_L2_DCM,275682114,260593526,,,,,,,,,,,,,,,,,,,,,,
, PAPI_L1_LDM,1114395085,8741180,,,,,,,,,,,,,,,,,,,,,,
, PAPI_L2_LDM,103214461,4207718,,,,,,,,,,,,,,,,,,,,,,
, PAPI_L3_LDM,42434357,684511,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,, Block Size, Time, PAPI_L1_DCM, PAPI_L3_LDM, PAPI_L1_LDM, PAPI_L2_LDM, PAPI_L2_DCM,,,,,,,,,,,,,,,,,
,4096,128,42.8798,9719979651,138382267,1954545400,1220832419,32383466581,,,,,,,,,,,,,,,,,
,4096,256,40.2438,9085068202,146758123,1374633906,675342859,22595674883,,,,,,,,,,,,,,,,,
,4096,512,43.4064,8761317599,315210400,1660857622,427913824,19256402436,,,,,,,,,,,,,,,,,
,4096,1024,47.331,8796768924,394027523,1849479751,396287455,18191082907,,,,,,,,,,,,,,,,,
,4096,2048,47.2984,8941691234,396156165,2365262081,340710197,17606172573,,,,,,,,,,,,,,,,,
,4096,4096,49.9826,17733353918,414089359,6058951105,322086250,17340824696,,,,,,,,,,,,,,,,,
,6144,128,145.065,32806594760,469767644,6601512756,4100943784,1.08558E+11,,,,,,,,,,,,,,,,,
,6144,256,128.366,30626538386,456241595,4772758339,2284030046,76389755907,,,,,,,,,,,,,,,,,
,6144,512,130.646,29606678161,336224460,3871044983,1453997773,65737954746,,,,,,,,,,,,,,,,,
,6144,1024,147.017,29749869504,1025085971,6084985822,1347611189,61721019099,,,,,,,,,,,,,,,,,
,6144,2048,167.363,30296853704,1377630817,7754464714,1186126119,59675822960,,,,,,,,,,,,,,,,,
,6144,4096,167.335,50102133336,1434742478,15541805363,1196533463,59065784968,,,,,,,,,,,,,,,,,
,8192,128,367.987,78006668262,1252172028,15436534515,9734561172,2.55454E+11,,,,,,,,,,,,,,,,,
,8192,256,562.623,73071359225,8226856048,22067331533,5425200112,1.64578E+11,,,,,,,,,,,,,,,,,
,8192,512,389.878,70283535274,3710526956,21962305731,3487013851,1.48867E+11,,,,,,,,,,,,,,,,,
,8192,1024,385.185,70503127859,3748324426,18425697298,3241676793,1.42824E+11,,,,,,,,,,,,,,,,,
,8192,2048,380.558,71730841274,3364891837,19692019405,2804723654,1.40544E+11,,,,,,,,,,,,,,,,,
,8192,4096,401.941,1.42E+11,3617004903,48935605493,2880589703,1.38528E+11,,,,,,,,,,,,,,,,,
,10240,128,714.494,1.52E+11,3012384465,31036901559,18967061863,5.01389E+11,,,,,,,,,,,,,,,,,
,10240,256,603.393,1.42E+11,2299698718,22778280392,10572434080,3.53212E+11,,,,,,,,,,,,,,,,,
,10240,512,625.037,1.37E+11,1956326906,19364755963,6710063386,3.04224E+11,,,,,,,,,,,,,,,,,
,10240,1024,702.623,1.38E+11,4804679064,25857996193,6265730168,2.90469E+11,,,,,,,,,,,,,,,,,
,10240,2048,750.507,1.40E+11,5840007257,31548935234,5573263424,2.82988E+11,,,,,,,,,,,,,,,,,
,10240,4096,778.107,2.50E+11,6926614516,83335428326,5570546680,2.78631E+11,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,4096,6144,8192,10240,,,,,,,,,,,,,,,,,,,,
, Time,40.2438,128.366,562.623,603.393,,,,,,,,,,,,,,,,,,,,
, PAPI_L1_DCM,9085068202,30626538386,73071359225,1.42E+11,,,,,,,,,,,,,,,,,,,,
, PAPI_L3_LDM,146758123,456241595,8226856048,2299698718,,,,,,,,,,,,,,,,,,,,
, PAPI_L1_LDM,1374633906,4772758339,22067331533,22778280392,,,,,,,,,,,,,,,,,,,,
, PAPI_L2_LDM,675342859,2284030046,5425200112,10572434080,,,,,,,,,,,,,,,,,,,,
, PAPI_L2_DCM,22595674883,76389755907,1.64578E+11,3.53212E+11,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,, PAPI_L1_DCM, PAPI_L3_LDM, PAPI_L1_LDM, PAPI_L2_LDM, PAPI_L2_DCM,,,,,,,,,,,,,,,,,,,
,128,78006668262,1252172028,15436534515,9734561172,2.55454E+11,,,,,,,,,,,,,,,,,,,
,256,73071359225,8226856048,22067331533,5425200112,1.64578E+11,,,,,,,,,,,,,,,,,,,
,512,70283535274,3710526956,21962305731,3487013851,1.48867E+11,,,,,,,,,,,,,,,,,,,
,1024,70503127859,3748324426,18425697298,3241676793,1.42824E+11,,,,,,,,,,,,,,,,,,,
,2048,71730841274,3364891837,19692019405,2804723654,1.40544E+11,,,,,,,,,,,,,,,,,,,
,4096,1.42E+11,3617004903,48935605493,2880589703,1.38528E+11,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,, PAPI_L3_LDM,,,,,,,,,,,,,,,,,,,,,,,
,128,1252172028,,,,,,,,,,,,,,,,,,,,,,,
,256,8226856048,,,,,,,,,,,,,,,,,,,,,,,
,512,3710526956,,,,,,,,,,,,,,,,,,,,,,,
,1024,3748324426,,,,,,,,,,,,,,,,,,,,,,,
,2048,3364891837,,,,,,,,,,,,,,,,,,,,,,,
,4096,3617004903,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Matrix Size, Block Size, Time, PAPI_L1_DCM, PAPI_L3_LDM, PAPI_L1_LDM, PAPI_L2_LDM, PAPI_L2_DCM,,,,,,,,,,,,,,,,,
,4096,256,40.2438,9085068202,146758123,1374633906,675342859,22595674883,,,,,,,,,,,,,,,,,
,6144,256,128.366,30626538386,456241595,4772758339,2284030046,76389755907,,,,,,,,,,,,,,,,,
,8192,256,562.623,73071359225,8226856048,22067331533,5425200112,1.64578E+11,,,,,,,,,,,,,,,,,
,10240,256,603.393,1.42E+11,2299698718,22778280392,10572434080,3.53212E+11,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,4096,6144,8192,10240,,,, Line, Block (Avg),,,,,,,,,,,,,,,
, PAPI_L1_DCM,9085068202,30626538386,73071359225,1.42E+11,,,4096,51.5416,45.19033,,,,,,,,,,,,,,,
, PAPI_L3_LDM,146758123,456241595,8226856048,2299698718,,,6144,172.793,147.632,,,,,,,,,,,,,,,
, PAPI_L1_LDM,1374633906,4772758339,22067331533,22778280392,,,8192,410.677,414.695,,,,,,,,,,,,,,,
, PAPI_L2_LDM,675342859,2284030046,5425200112,10572434080,,,10240,808.81,695.6935,,,,,,,,,,,,,,,
, PAPI_L2_DCM,22595674883,76389755907,1.64578E+11,3.53212E+11,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Matrix Size,4096,6144,8192,10240,,,,,,,,,,,,,,,,,,,,
, PAPI_L1_DCM,17685394585,59670699279,1.41E+11,2.76E+11,,,,,,,,,,,,,,,,,,,,
, PAPI_L3_LDM,336461600,1164480547,2762679404,5391085673,,,,,,,,,,,,,,,,,,,,
, PAPI_L1_LDM,4149375233,14317137019,34232411546,70038638883,,,,,,,,,,,,,,,,,,,,
, PAPI_L2_LDM,303061303,1061630809,2616579426,6883464986,,,,,,,,,,,,,,,,,,,,
, PAPI_L2_DCM,17553028014,60800958352,1.48076E+11,3.28632E+11,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,42.8798,145.065,367.987,714.494,,,,,,,,,,,,,,
,,,,,,,,40.2438,128.366,562.623,603.393,,,,,,,,,,,,,,
,,Line,Block (256),,,,,43.4064,130.646,389.878,625.037,,,,,,,,,,,,,,
, PAPI_L1_DCM,17685394585,9085068202,,,,,47.331,147.017,385.185,702.623,,,,,,,,,,,,,,
, PAPI_L3_LDM,336461600,146758123,,,,,47.2984,167.363,380.558,750.507,,,,,,,,,,,,,,
, PAPI_L1_LDM,4149375233,1374633906,,,,,49.9826,167.335,401.941,778.107,,,,,,,,,,,,,,
, PAPI_L2_LDM,303061303,675342859,,,,,45.19033333,147.632,414.6953333,695.6935,,,,,,,,,,,,,,
, PAPI_L2_DCM,17553028014,22595674883,,,,,,,,,,,,,,,,,,,,,,
