, Time, PAPI_L1_DCM, PAPI_L3_LDM, PAPI_PRF_DM, PAPI_MEM_WCY, PAPI_L1_LDM, PAPI_L2_LDM,, ,
600,0.225527,244838232,389344,12460981,104864,218075891,16385005,,,
1000,1.72758,1229452111,42434357,35999396,349374,1114395085,103214461,,,
1400,5.25648,3430131743,187773811,251366158,749280,3119107953,437134201,,,
1800,22.5273,9091122127,547084970,2367649696,1280835,8453147898,1823990912,,,
2200,42.9934,17642732506,896137634,8024598857,1951985,16453205218,5920972274,,,
2600,80.897,30879642340,1389191228,20265684328,2777874,28781906348,13050232229,,,
3000,130.876,50303539232,1884617393,37255738834,3753904,46881354649,26919399642,,,
,,,,,,,,,,
,,,,,,,,,,
Matrix Size, Time, PAPI_L1_DCM, PAPI_CA_SNP, PAPI_L3_LDM, PAPI_PRF_DM, PAPI_MEM_WCY, PAPI_L1_LDM, PAPI_L2_LDM, ,
600,0.123384,27119143,4394172,42350,35473320,681076,1463903,501489,,
1000,0.647236,125884392,23710093,684511,162906115,2872598,8741180,4207718,,
1400,1.93269,346422181,81149534,6456822,450831037,7154866,24620916,11736644,,
1800,4.14199,745360679,185155894,17719670,972077022,14673438,56159678,25300722,,
2200,7.70274,2078223473,344934750,37012242,1781115818,8476779,225049043,45745212,,
2600,12.8137,4413726637,578391675,65678281,2939171364,11949040,553253881,75970738,,
3000,20.5717,6780763131,920416532,107407944,4529879601,16147374,862075349,116436152,,
4096,51.5416,17685394585,2445857703,336461600,11616588590,29880033,4149375233,303061303,,
6144,172.793,59670699279,8334220718,1164480547,39638533258,69069182,14317137019,1061630809,,
8192,410.677,1.41351E+11,20091979527,2762679404,95634330813,123899764,34232411546,2616579426,,
10240,808.81,2.75587E+11,46711695125,5391085673,2.15813E+11,195867523,70038638883,6883464986,,
,,,,,,,,,,
,,,,,,,,,,
Matrix Size, Block Size, Time, PAPI_L1_DCM, PAPI_CA_SNP, PAPI_L3_LDM, PAPI_PRF_DM, PAPI_MEM_WCY, PAPI_L1_LDM, PAPI_L2_LDM, 
4096,128,42.8798,9719979651,4007572543,138382267,17402455779,26877231,1954545400,1220832419,
4096,256,40.2438,9085068202,2318225634,146758123,13489329836,27194222,1374633906,675342859,
4096,512,43.4064,8761317599,2568528063,315210400,11980329373,27117312,1660857622,427913824,
4096,1024,47.331,8796768924,2768374703,394027523,11757235720,27155531,1849479751,396287455,
4096,2048,47.2984,8941691234,2831278493,396156165,11668512424,27124877,2365262081,340710197,
4096,4096,49.9826,17733353918,2808254496,414089359,11673604164,27176067,6058951105,322086250,
6144,128,145.065,32806594760,14044290338,469767644,58689051791,62066578,6601512756,4100943784,
6144,256,128.366,30626538386,7927900977,456241595,45448091738,62900522,4772758339,2284030046,
6144,512,130.646,29606678161,6946698569,336224460,40458873209,63724847,3871044983,1453997773,
6144,1024,147.017,29749869504,8642839378,1025085971,39444149091,62664398,6084985822,1347611189,
6144,2048,167.363,30296853704,9644489306,1377630817,39438131056,62710274,7754464714,1186126119,
6144,4096,167.335,50102133336,9563374859,1434742478,39491314744,62543857,15541805363,1196533463,
8192,128,367.987,78006668262,34730133508,1252172028,1.39578E+11,111969564,15436534515,9734561172,
8192,256,562.623,73071359225,37003624353,8226856048,1.08354E+11,129862434,22067331533,5425200112,
8192,512,389.878,70283535274,22179542462,3710526956,97189734824,114541049,21962305731,3487013851,
8192,1024,385.185,70503127859,23778509039,3748324426,94571212635,112432405,18425697298,3241676793,
8192,2048,380.558,71730841274,23170945724,3364891837,93828275524,114692767,19692019405,2804723654,
8192,4096,401.941,1.42225E+11,23135749047,3617004903,94027573082,112281996,48935605493,2880589703,
10240,128,714.494,1.51938E+11,67617546655,3012384465,2.72071E+11,180623482,31036901559,18967061863,
10240,256,603.393,1.41788E+11,37417617647,2299698718,2.10467E+11,178973646,22778280392,10572434080,
10240,512,625.037,1.36916E+11,34087952957,1956326906,1.87217E+11,184455471,19364755963,6710063386,
10240,1024,702.623,1.37759E+11,40135618264,4804679064,1.83255E+11,177478310,25857996193,6265730168,
10240,2048,750.507,1.40281E+11,42707758274,5840007257,1.8301E+11,181884454,31548935234,5573263424,
10240,4096,778.107,2.50251E+11,44709287949,6926614516,1.82804E+11,177285450,83335428326,5570546680,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Basic,Line,,,,,,,,
600,0.225527,0.123384,,,,,,,,
1000,1.72758,0.647236,,,,,,,,
1400,5.25648,1.93269,,,,,,,,
1800,22.5273,4.14199,,,,,,,,
2200,42.9934,7.70274,,,,,,,,
2600,80.897,12.8137,,,,,,,,
3000,130.876,20.5717,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,128,256,512,1024,2048,4096,,,,
4096,42.8798,40.2438,43.4064,47.331,47.2984,49.9826,,,,
6144,145.065,128.366,130.646,147.017,167.363,167.335,,,,
8192,367.987,562.623,389.878,385.185,380.558,401.941,,,,
10240,714.494,603.393,625.037,702.623,750.507,778.107,,,,
,,,,,,,,,,
,4096,6144,8192,10240,,,,,,
128,42.8798,145.065,367.987,714.494,,,,,,
256,40.2438,128.366,562.623,603.393,,,,,,
512,43.4064,130.646,389.878,625.037,,,,,,
1024,47.331,147.017,385.185,702.623,,,,,,
2048,47.2984,167.363,380.558,750.507,,,,,,
4096,49.9826,167.335,401.941,778.107,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Python,C++,,,,,,,,
600,45.38635216,0.225527,,,,,,,,
1000,234.5354094,1.72758,,,,,,,,
1400,653.1684168,5.25648,,,,,,,,
1800,1413.199853,22.5273,,,,,,,,
2200,2586.825583,42.9934,,,,,,,,
2600,4286.360333,80.897,,,,,,,,
3000,6658.442935,130.876,,,,,,,,
,,,,,,,,,,
,Python,C++,,,,,,,,
600,46.42652355,0.123384,,,,,,,,
1000,217.0691807,0.647236,,,,,,,,
1400,598.9518155,1.93269,,,,,,,,
1800,1269.817297,4.14199,,,,,,,,
2200,2329.56043,7.70274,,,,,,,,
2600,3845.087283,12.8137,,,,,,,,
3000,5886.979285,20.5717,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Basic,Line,,,,,,,,
600,45.38635216,46.42652355,,,,,,,,
1000,234.5354094,217.0691807,,,,,,,,
1400,653.1684168,598.9518155,,,,,,,,
1800,1413.199853,1269.817297,,,,,,,,
2200,2586.825583,2329.56043,,,,,,,,
2600,4286.360333,3845.087283,,,,,,,,
3000,6658.442935,5886.979285,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Basic,Line,,,,,,,,
600,0.225527,0.123384,,,,,,,,
1000,1.72758,0.647236,,,,,,,,
1400,5.25648,1.93269,,,,,,,,
1800,22.5273,4.14199,,,,,,,,
2200,42.9934,7.70274,,,,,,,,
2600,80.897,12.8137,,,,,,,,
3000,130.876,20.5717,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 PAPI_CA_SNP,,,,,,,,,,
30748719,,,,,,,,,,
198111972,,,,,,,,,,
866159151,,,,,,,,,,
3600534769,,,,,,,,,,
11615727140,,,,,,,,,,
25463046397,,,,,,,,,,
52342357222,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,600,1000,1400,1800,2200,2600,3000,,,
 Time,0.225527,1.72758,5.25648,22.5273,42.9934,80.897,130.876,,,
 PAPI_L1_DCM,244838232,1229452111,3430131743,9091122127,17642732506,30879642340,50303539232,,,
 PAPI_L3_LDM,389344,42434357,187773811,547084970,896137634,1389191228,1884617393,,,
 PAPI_PRF_DM,12460981,35999396,251366158,2367649696,8024598857,20265684328,37255738834,,,
 PAPI_MEM_WCY,104864,349374,749280,1280835,1951985,2777874,3753904,,,
 PAPI_L1_LDM,218075891,1114395085,3119107953,8453147898,16453205218,28781906348,46881354649,,,
 PAPI_L2_LDM,16385005,103214461,437134201,1823990912,5920972274,13050232229,26919399642,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,, Time,,,4096,6144,8192,10240,,
4096,128,42.8798,,128,42.8798,145.065,367.987,714.494,,
4096,256,40.2438,,256,40.2438,128.366,562.623,603.393,,
4096,512,43.4064,,512,43.4064,130.646,389.878,625.037,,
4096,1024,47.331,,1024,47.331,147.017,385.185,702.623,,
4096,2048,47.2984,,2048,47.2984,167.363,380.558,750.507,,
4096,4096,49.9826,,4096,49.9826,167.335,401.941,778.107,,
6144,128,145.065,,,,,,,,
6144,256,128.366,,,,,,,,
6144,512,130.646,,,,,,,,
6144,1024,147.017,,,,,,,,
6144,2048,167.363,,,,,,,,
6144,4096,167.335,,,,,,,,
8192,128,367.987,,,,,,,,
8192,256,562.623,,,,,,,,
8192,512,389.878,,,,,,,,
8192,1024,385.185,,,,,,,,
8192,2048,380.558,,,,,,,,
8192,4096,401.941,,,,,,,,
10240,128,714.494,,,,,,,,
10240,256,603.393,,,,,,,,
10240,512,625.037,,,,,,,,
10240,1024,702.623,,,,,,,,
10240,2048,750.507,,,,,,,,
10240,4096,778.107,,,,,,,,
